                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.2101,                 4.2223,                 4.2339,                      0,                      0,                      0,                      0,                 4.7745,                 4.8346,                   4.16,                0.00016,                0.00016,                0.00016
                      1,                 4.1857,                 4.0951,                 4.1927,                      0,                      0,                      0,                      0,                  4.778,                  4.837,                 4.1575,             0.00033663,             0.00033663,             0.00033663
                      2,                 4.1203,                 3.9769,                 4.1495,                      0,                      0,                      0,                      0,                 4.7752,                 4.8037,                  4.148,              0.0005097,              0.0005097,              0.0005097
                      3,                 4.0357,                 3.7171,                 4.1123,                      0,                      0,                      0,                      0,                 4.7581,                   4.75,                  4.133,             0.00067921,             0.00067921,             0.00067921
                      4,                 3.7511,                 3.4104,                 4.0262,                      0,                      0,                      0,                      0,                 4.7574,                 4.7003,                 4.1237,             0.00084515,             0.00084515,             0.00084515
                      5,                 3.4737,                 3.1804,                 3.7223,                      0,                      0,                      0,                      0,                 4.7554,                 4.6085,                  4.123,              0.0010075,              0.0010075,              0.0010075
                      6,                 3.0388,                 3.0633,                 3.5281,                0.00022,                0.04167,                0.00012,                  2e-05,                 4.4205,                 4.1675,                 3.8712,              0.0011663,              0.0011663,              0.0011663
                      7,                 3.0054,                  2.851,                 3.2273,                0.00044,                0.08333,                0.00025,                  5e-05,                 4.3014,                 4.1903,                 3.7788,              0.0013216,              0.0013216,              0.0013216
                      8,                 2.9341,                 2.5931,                  3.055,                0.00033,                0.04167,                0.00017,                  3e-05,                 4.1065,                 4.5527,                 3.6649,              0.0014733,              0.0014733,              0.0014733
                      9,                 2.9463,                 2.5593,                 2.9199,                0.00054,                0.08333,                 0.0004,                  7e-05,                 3.6221,                 4.8608,                  3.297,              0.0016214,              0.0016214,              0.0016214
                     10,                 2.8269,                 2.5213,                 2.8764,                0.00571,                0.04167,                0.00587,                0.00225,                 2.7873,                 5.3431,                 2.7758,               0.001766,               0.001766,               0.001766
                     11,                 2.7261,                  2.525,                 2.8142,                0.01806,                0.33333,                0.01299,                0.00475,                 2.6664,                 8.9754,                 2.6988,              0.0017822,              0.0017822,              0.0017822
                     12,                 2.7857,                 2.4578,                 2.9132,                 0.0186,                0.29167,                0.01666,                0.00595,                 2.6336,                 9.0879,                  2.736,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.6601,                 2.3074,                 2.7809,                0.07005,                0.41667,                0.05138,                0.01482,                 2.7609,                 7.9196,                 2.6537,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.6058,                 2.2553,                 2.6997,                0.03987,                0.41667,                0.02695,                0.00804,                 2.7879,                 28.443,                 2.9368,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.5256,                 2.2031,                 2.5972,                0.45239,                0.41667,                0.28168,                0.11812,                 2.2635,                 2.8606,                 2.4304,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.4686,                 2.2006,                 2.5836,                0.50208,                0.45833,                0.44242,                0.18958,                 2.2313,                 2.0831,                 2.3018,               0.001703,               0.001703,               0.001703
                     17,                 2.4851,                 2.2536,                 2.6762,                0.26021,                0.41667,                0.28384,                0.10425,                 2.2287,                 4.7216,                  2.352,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.4666,                 2.0693,                 2.5683,                0.57592,                    0.5,                 0.3886,                0.17687,                 2.1983,                 3.8687,                  2.302,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.3526,                 2.0536,                 2.5112,                0.72809,                0.33333,                0.46956,                0.21559,                 2.1473,                 2.0835,                 2.2375,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.2359,                  1.999,                 2.4873,                0.46511,                    0.5,                0.49337,                0.21012,                 2.1755,                 1.9657,                 2.2693,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.3079,                 2.0659,                 2.4803,                0.62605,                0.58333,                0.55222,                0.28154,                 1.9242,                 1.6635,                 2.1117,               0.001604,               0.001604,               0.001604
                     22,                 2.3186,                 2.0137,                 2.5356,                0.58167,                0.52191,                0.50893,                0.21158,                 2.0011,                 1.7373,                 2.1279,              0.0015842,              0.0015842,              0.0015842
                     23,                 2.1162,                 1.8137,                 2.2733,                0.76454,                  0.375,                0.54401,                0.25862,                 1.9967,                 1.8697,                 2.1139,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.1725,                 1.8212,                 2.4437,                0.74662,                0.54167,                 0.6045,                0.27455,                  2.117,                 1.8284,                 2.1452,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.2597,                 1.8787,                 2.3944,                0.78166,                0.54167,                0.62166,                0.29317,                 1.9945,                 1.9563,                 2.0941,              0.0015248,              0.0015248,              0.0015248
                     26,                  2.168,                   1.86,                 2.3866,                0.68501,                0.54167,                0.59869,                 0.2966,                 2.1171,                   2.33,                 2.1579,               0.001505,               0.001505,               0.001505
                     27,                 2.1608,                  1.855,                 2.3784,                0.65838,                0.56262,                 0.5824,                0.29863,                 1.8897,                  1.771,                 2.0275,              0.0014852,              0.0014852,              0.0014852
                     28,                 2.1469,                 1.7152,                 2.2513,                0.63075,                0.54167,                 0.6112,                0.30966,                 1.8975,                   1.97,                 2.0685,              0.0014654,              0.0014654,              0.0014654
                     29,                 2.0401,                 1.8009,                 2.2446,                  0.854,                  0.625,                 0.7635,                0.35992,                 1.8124,                 1.5773,                 1.9742,              0.0014456,              0.0014456,              0.0014456
                     30,                 2.0767,                 1.7288,                 2.2592,                0.74979,                  0.625,                0.72389,                0.29601,                 1.9634,                 1.6542,                 2.0356,              0.0014258,              0.0014258,              0.0014258
                     31,                 2.0925,                 1.6979,                 2.2701,                0.83817,                0.58333,                0.70583,                0.33491,                 1.9071,                 1.5247,                 2.0666,               0.001406,               0.001406,               0.001406
                     32,                  1.985,                 1.6171,                 2.1984,                0.85521,                0.45833,                0.64019,                0.25656,                 1.9869,                  1.679,                 2.1287,              0.0013862,              0.0013862,              0.0013862
                     33,                 2.0042,                 1.6778,                  2.287,                0.81094,                0.66667,                0.84679,                0.41258,                 1.7662,                 1.3136,                 1.9198,              0.0013664,              0.0013664,              0.0013664
                     34,                  2.016,                 1.5796,                  2.211,                0.72638,                0.70833,                0.81264,                0.41022,                 1.7817,                 1.3281,                 1.9242,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.9567,                 1.6584,                 2.2255,                0.87141,                  0.625,                 0.6941,                0.32657,                 2.0151,                 1.5537,                 2.0813,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.9961,                 1.6588,                 2.2435,                0.53491,                  0.625,                 0.5665,                 0.2579,                  2.087,                 1.6093,                 2.0624,               0.001307,               0.001307,               0.001307
                     37,                 1.9036,                 1.5397,                 2.0952,                0.89007,                0.67512,                0.81871,                0.38918,                 1.8154,                 1.3785,                 1.9379,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.9384,                 1.5201,                 2.0958,                 0.8126,                   0.75,                0.79043,                0.36678,                 1.7458,                 1.3332,                 1.8742,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.8861,                 1.4926,                 2.1336,                0.88352,                0.63242,                0.75183,                0.42333,                   1.73,                 1.3733,                 1.9266,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.8704,                 1.4891,                 2.1032,                0.88134,                0.61928,                0.73596,                0.41504,                 1.7338,                 1.3922,                 1.9424,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.8731,                 1.5673,                 2.0822,                0.93282,                0.57884,                0.70077,                0.41266,                 1.7107,                 1.3176,                 1.8698,               0.001208,               0.001208,               0.001208
                     42,                 1.8564,                 1.5122,                 2.1028,                0.84837,                0.70833,                0.81296,                0.45851,                 1.6559,                 1.3508,                 1.7964,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.9206,                 1.4959,                 2.0786,                0.90398,                0.78479,                0.84939,                 0.4035,                 1.7246,                 1.2936,                 1.7937,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.9208,                 1.5031,                  2.041,                 0.8717,                0.70833,                0.83292,                0.46713,                 1.6335,                 1.2155,                 1.7885,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.8247,                 1.4988,                 2.0507,                0.88832,                0.70833,                0.82884,                 0.4669,                 1.6304,                 1.2073,                 1.8015,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.8666,                 1.5152,                 2.0734,                0.74409,                   0.75,                 0.8089,                0.36351,                 1.8059,                  1.448,                 1.8929,               0.001109,               0.001109,               0.001109
                     47,                 1.9498,                  1.414,                 2.0544,                0.84187,                0.70833,                0.82436,                0.44304,                 1.7611,                 1.3004,                 1.8599,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.8414,                 1.4192,                   2.07,                0.93631,                0.66667,                0.78868,                0.41767,                 1.7236,                 1.3091,                 1.8418,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.8197,                 1.3566,                 1.9422,                0.90656,                0.66667,                0.81946,                0.43562,                 1.6758,                 1.3154,                 1.8126,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.7915,                 1.3694,                 1.9794,                0.66172,                0.79167,                0.80182,                0.42407,                 1.6556,                 1.2998,                 1.8054,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.7984,                 1.4654,                 1.9867,                0.75713,                0.66667,                0.70836,                0.39017,                 1.7656,                  1.443,                 1.8557,                0.00101,                0.00101,                0.00101
                     52,                 1.7968,                 1.3997,                 2.0337,                0.76049,                0.79386,                 0.8069,                 0.4535,                 1.6727,                 1.2127,                 1.8436,              0.0009902,              0.0009902,              0.0009902
